Asplenium ×trudellii
Asplenium ×wherryi
Asplenium ×abneyi
Asplenium ×adulterinum
Asplenium ×alternifolium
Asplenium ×bimixtum
Asplenium ×biscaynianum
Asplenium ×breynii
Asplenium ×castaneoviride
Asplenium ×chasmophilum
Asplenium ×flexuosum
Asplenium ×germanicum
Asplenium ×herbwagneri
Asplenium ×hopei
Asplenium ×iidanum
Asplenium ×incisoserratum
Asplenium ×inexpectatum
Asplenium ×joellaui
Asplenium ×kidoi
Asplenium ×lacei
Asplenium ×lessinense
Asplenium ×mantoniae
Asplenium ×mendelianum
Asplenium ×mixtum
Asplenium ×muellerianum
Asplenium ×murbeckii
Asplenium ×nieschalkii
Asplenium ×olindensis
Asplenium ×plenum
Asplenium ×reichlingii
Asplenium ×tenuivarians
Asplenium ×ticinense
Asplenium ×viridissium
Aster  ×salignus
Aster ×amethystinus
Aster ×frikartii
Aster ×batesii
Aster ×blakei
Aster ×maccallae
Aster ×salignus
Aster ×versicolor
Astilbe ×arendsii
Astilbe ×lemoinei
Astomiopsis ×altivallis
Athrotaxis ×laxifolia
Athyrium ×bicolor
Athyrium ×heterosporum
Athyrium ×kathmanduense
Athyrium ×mentiens
Athyrium ×multifidum
Athyrium ×neoelegans
Athyrium ×nepalense
Athyrium ×pandeanum
Athyrium ×pseudopinetorum
Athyrium ×purpurascens
Athyrium ×purpureipes
Athyrium ×quaesitum
Athyrium ×reichsteinii
Athyrium ×saitoanum
Athyrium ×sikkimense
Athyrium ×simlense
Athyrium ×tokakushikiki
Athyrium ×tokashikii
Atriplex ×leucophylla
Attalea ×minarum
Attalea ×piassabossu
Attalea ×ricardocampos
Attalea ×teixeirana
Attalea ×voeksii
Aubrieta ×cultorum
Austroblechnum ×aggregatum
Axonopus ×compressoides
Axonopus ×repens
Baccharis ×hoehneana
Baccharis ×paulopolitana
Baccharis ×wilsoniana
Balsamorhiza ×terebinthacea
Balsamorhiza ×tomentosa
Baptisia ×bushii
Baptisia ×bicolor
Baptisia ×fulva
Baptisia ×microphylla
Baptisia ×serenae
Baptisia ×sulphurea
Baptisia ×unknown
Barbacenia ×rogieri
Barleria ×hybrid
Bassia ×acutiptera
Bauhinia ×blakeana
Begonia ×erythrophylla
Begonia ×ramola
Begonia ×sansouci
Begonia ×tuberhybrida
Begonia ×(hibrido)
Begonia ×albopicta
Begonia ×chungii
Begonia ×duchartrei
Begonia ×erici-magni
Begonia ×feastii
Begonia ×fuscomaculata
Begonia ×hiemalis
Begonia ×hortensis
Begonia ×hybrida
Begonia ×lindquistii
Begonia ×reichenheimii
Begonia ×richmondensis
Begonia ×ricinifolia
Begonia ×sementacea
Begonia ×semperflorens-cultorum
Begonia ×sp.
Begonia ×speculata
Begonia ×taipeiensis
Berberis ×ottawensis
Berberis ×bidentata
Berberis ×chenault
Berberis ×chenaultii
Berberis ×gladwynensis
Berberis ×hybido-gagnepainii
Berberis ×laxiflora
Berberis ×macracantha
Berberis ×mentorensis
Berberis ×neubertii
Berberis ×provincialis
Berberis ×stenophylla
Berberis ×wisleyensis
Bergenia ×schmidtii
Berlandiera ×betonicifolia
Berlandiera ×humilis
Berlandiera ×macrophylla
Berlandiera ×microphylla
Betula ×eastwoodiae
Betula ×Piperi
Betula ×purpusii
Betula ×sandbergii
Betula ×sargentii
Betula ×alba
Betula ×alpestris
Betula ×atrata
Betula ×aurita
Betula ×caerulea
Betula ×dutillyi
Betula ×eastwoodae
Betula ×hornei
Betula ×hybrida
Betula ×intermedia
Betula ×jackii
Betula ×nana
Betula ×obscura
Betula ×rosendahlii
Betula ×uliginosa
Betula ×ungavensis
Betula ×utahensis
Betula ×winteri
Bidens ×polakii
Bidens ×dimidiata
billbergia ×perringiana
Billbergia ×windii
Blechnum ×caudatum
Blechnum ×aggregatum
Blechnum ×antillanum
Blechnum ×confluens
Blechnum ×Falciculatum
Blechnum ×fraxineum
Blechnum ×leopoldense
Blechnum ×palciculatum
Bletia ×coccinea-macristhmochila
Bolbitis ×sinuousa
Bolbitis ×sinuosa
Bolbitis ×trifidus
Borrichia ×cubana
Botrychium ×watertonense
Bougainvillea ×bouttiana
Bougainvillea ×buttiana
Brachychiton ×turgidulus
Brachychiton ×allochrous
Brachychiton ×carneus
Brachychiton ×excellens
Brachychiton ×hirtellus
Brachychiton ×incarnatus
Brachychiton ×roseus
Brachychiton ×vinicolor
Brachypodium ×cugnacii
Brachystegia ×longifolia
Brassica ×hybrid
Brassica ×juncea
Brassica ×napus
Brassocattleya ×miranda
Bromus ×catharticus
Bromus ×fischeri
Bromus ×litvinovii
Bromus ×madritensis
Bromus ×pseudothominii
Broussonetia ×hanjiana
Brugmansia ×candida
Brugmansia ×insignis
Brugmansia ×rosei
Bruguiera ×dungarra
Bruguiera ×hainesii
Bruguiera ×rhynchopetala
Brunfelsia ×candida
Bryophyllum ×houghtonii
Buddleja ×fallowiana
Buddleja ×weyeriana
Buddleja ×hybrida
Bulbostylis   ×'floccosa'
bursera ×simaruba
Butyagrus ×nabonnandii
Byrsonima ×horneana
Byrsonima ×ophiticola
Bystropogon ×serrulatus
Caladenia ×aestantha
Caladenia ×cala
Caladenia ×coactescens
Caladenia ×eludens
Caladenia ×enigma
Caladenia ×ericksoniae
Caladenia ×erminea
Caladenia ×exoleta
Caladenia ×exserta
Caladenia ×hopperi
Caladenia ×hypata
Caladenia ×idiastes
